        L2 Norm                Lmax Norm
   3.9073088805519356E-004   4.8394023263576003E-004

        Y_exact              Y_numerical                     Absolute Error                Relative Error
   10.798758869458808        10.798597671196978        1.6119826183036423E-004   1.4927480442800447E-005
   10.796477995544432        10.796315043024984        1.6295251944775657E-004   1.5093118284963392E-005
   10.794201204978631        10.794036503367503        1.6470161112813742E-004   1.5258341770780756E-005
   10.791928494246008        10.791762048712160        1.6644553384814742E-004   1.5423150175327060E-005
   10.789659859824489        10.789491675536787        1.6818428770193350E-004   1.5587543063166524E-005
   10.787395298180861        10.787225380309446        1.6991787141584780E-004   1.5751519872874410E-005
   10.785134805771651        10.784963159488473        1.7164628317800634E-004   1.5915079993821686E-005
   10.782878379045709        10.782705009522514        1.7336952319446652E-004   1.6078223003180142E-005
   10.780626014439466        10.780450926850561        1.7508758890549814E-004   1.6240948222393349E-005
   10.778377708381555        10.778200907901988        1.7680047956680767E-004   1.6403255141942454E-005
   10.776133457291941        10.775954949096590        1.7850819535070173E-004   1.6565143338115369E-005
   10.773893257578173        10.773713046844621        1.8021073355178885E-004   1.6726612120927753E-005
   10.771657105642525        10.771475197546826        1.8190809569951227E-004   1.6887661194137272E-005
   10.769424997872672        10.769241397594485        1.8360027818786762E-004   1.7048289785586037E-005
   10.767196930652133        10.767011643369445        1.8528728268840666E-004   1.7208497613796724E-005
   10.764972900352451        10.764785931244162        1.8696910828808200E-004   1.7368284158147815E-005
   10.762752903333769        10.762564257581737        1.8864575203281220E-004   1.7527648709130826E-005
   10.760536935952423        10.760346618735950        1.9031721647344568E-004   1.7686591069407502E-005
   10.758324994550374        10.758133011051303        1.9198349907156853E-004   1.7845110569611690E-005
   10.756117075463013        10.755923430863056        1.9364459995685479E-004   1.8003206789055806E-005
   10.753913175014914        10.753717874497264        1.9530051764959921E-004   1.8160879158235194E-005
   10.751713289524437        10.751516338270815        1.9695125362240162E-004   1.8318127382944104E-005
   10.749517415299175        10.749318818491469        1.9859680770650812E-004   1.8474951017229536E-005
   10.747325548635578        10.747125311457896        2.0023717768147264E-004   1.8631349425057070E-005
   10.745137685823897        10.744935813459715        2.0187236418145460E-004   1.8787322236716018E-005
   10.742953823144939        10.742750320777532        2.0350236740718231E-004   1.8942869043032723E-005
   10.740773956869749        10.740568829682973        2.0512718677601072E-004   1.9097989362750935E-005
   10.738598083262142        10.738391336438731        2.0674682341059736E-004   1.9252682874205531E-005
   10.736426198573922        10.736217837298600        2.0836127532142257E-004   1.9406948966789190E-005
   10.734258299051964        10.734048328507514        2.0997054445004437E-004   1.9560787396795612E-005
   10.732094380931379        10.731882806301586        2.1157462979282116E-004   1.9714197647082170E-005
   10.729934440439905        10.729721266908147        2.1317353175831499E-004   1.9867179332884657E-005
   10.727778473797098        10.727563706545782        2.1476725131641672E-004   2.0019732122637674E-005
   10.725626477211719        10.725410121424373        2.1635578734624517E-004   2.0171855490765698E-005
   10.723478446885331        10.723260507745136        2.1793914019418992E-004   2.0323549049281770E-005
   10.721334379012568        10.721114861700663        2.1951731190483770E-004   2.0474812569464437E-005
   10.719194269776239        10.718973179474951        2.2109030128802942E-004   2.0625645521829380E-005
   10.717058115353094        10.716835457243453        2.2265810964050559E-004   2.0776047609700744E-005
   10.714925911909432        10.714701691173113        2.2422073631922501E-004   2.0926018356319946E-005
   10.712797655605620        10.712571877422402        2.2577818321778409E-004   2.1075557522515375E-005
   10.710673342591601        10.710446012141361        2.2733045024025955E-004   2.1224664684363690E-005
   10.708552969010203        10.708324091471640        2.2887753856259963E-004   2.1373339537559845E-005
   10.706436530994996        10.706206111546537        2.3041944845836326E-004   2.1521581694460330E-005
   10.704324024672559        10.704092068491034        2.3195618152449526E-004   2.1669390891928901E-005
   10.702215446158991        10.701981958421843        2.3348773714815252E-004   2.1816766661331874E-005
   10.700110791564576        10.699875777447440        2.3501411713588993E-004   2.1963708760956300E-005
   10.698010056990496        10.697773521668109        2.3653532238654407E-004   2.2110216865236791E-005
   10.695913238529780        10.695675187175977        2.3805135380250420E-004   2.2256290649869354E-005
   10.693820332266176        10.693580770055059        2.3956221111731679E-004   2.2401929682182164E-005
   10.691731334279016        10.691490266381292        2.4106789772382342E-004   2.2547133872596466E-005
   10.689646240636188        10.689403672222580        2.4256841360781323E-004   2.2691902813930436E-005
   10.687565047397314        10.687320983638832        2.4406375848151640E-004   2.2836236074273248E-005
   10.685487750618966        10.685242196682001        2.4555393696523709E-004   2.2980133681872701E-005
   10.683414346342699        10.683167307396124        2.4703894657562842E-004   2.3123595001273947E-005
   10.681344830608973        10.681096311817363        2.4851879160969759E-004   2.3266620032482263E-005
   10.679279199445906        10.679029205974048        2.4999347185783449E-004   2.3409208354699198E-005
   10.677217448875806        10.676965985886710        2.5146298909639597E-004   2.3551359733979406E-005
   10.675159574911996        10.674906647568127        2.5292734386894722E-004   2.3693073821899502E-005
   10.673105573563509        10.672851187023364        2.5438654014564577E-004   2.3834350591990991E-005
   10.671055440826830        10.670799600249806        2.5584057702410234E-004   2.3975189562343697E-005
   10.669009172693901        10.668751883237210        2.5728945669101222E-004   2.4115590541389253E-005
   10.666966765149045        10.666708031967737        2.5873318130820167E-004   2.4255553336261519E-005
   10.664928214168771        10.664668042415995        2.6017175277637250E-004   2.4395077730642784E-005
   10.662893515721724        10.662631910549079        2.6160517264450789E-004   2.4534163476244846E-005
   10.660862665768711        10.660599632326610        2.6303344210099056E-004   2.4672810291945009E-005
   10.658835660263957        10.658571203700781        2.6445656317619637E-004   2.4811017976577688E-005
